Bristol, Franklin D Roosevelt, Democrat, 49.96
Kent, Alf Landon, Republican, 48.4
Newport, Franklin D Roosevelt, Democrat, 49.1
Providence, Franklin D Roosevelt, Democrat, 55.1
Washington, Alf Landon, Republican, 58.2
