Washington, Ronald Reagan, Republican, 57.6
Newport, Ronald Reagan, Republican, 57.4
Kent, Ronald Reagan, Republican, 56.2
Bristol, Ronald Reagan, Republican, 55.2
Providence, Jimmy Carter, Democrat, 51.5
