Fairfield, Ronald Reagan, Republican, 65.8
Hartford, Ronald Reagan, Republican, 55
Litchfield, Ronald Reagan, Republican, 66.2
Middlesex, Ronald Reagan, Republican, 59.3
New Haven, Ronald Reagan, Republican, 59.8
New London, Ronald Reagan, Republican, 61.6
Tolland, Ronald Reagan, Republican, 61.9
Windham, Ronald Reagan, Republican, 61.6
