Fairfield, Richard Blumenthal, Democrat, 51.6
Hartford, Richard Blumenthal, Democrat, 58.4
Litchfield, Linda McMahon, Republican, 53.3
Middlesex, Richard Blumenthal, Democrat, 55.4
New Haven, Richard Blumenthal, Democrat, 58
New London, Richard Blumenthal, Democrat, 57.4
Tolland, Richard Blumenthal, Democrat, 53.1
Windham, Richard Blumenthal, Democrat, 55.3
