Belknap, Kelly Ayotte, Republican, 65.9
Carroll, Kelly Ayotte, Republican, 62.1
Cheshire, Kelly Ayotte, Republican, 50.1
Coös, Kelly Ayotte, Republican, 58.4
Grafton, Kelly Ayotte, Republican, 49
Hillsborough, Kelly Ayotte, Republican, 63.3
Merrimack, Kelly Ayotte, Republican, 57.3
Rockingham, Kelly Ayotte, Republican, 63.9
Strafford, Kelly Ayotte, Republican, 55.5
Sullivan, Kelly Ayotte, Republican, 55.5
