Fairfield, Lyndon B Johnson, Democrat, 60.8
Hartford, Lyndon B Johnson, Democrat, 72.9
Litchfield, Lyndon B Johnson, Democrat, 65.8
Middlesex, Lyndon B Johnson, Democrat, 67.4
New Haven, Lyndon B Johnson, Democrat, 69.1
New London, Lyndon B Johnson, Democrat, 69
Tolland, Lyndon B Johnson, Democrat, 68.9
Windham, Lyndon B Johnson, Democrat, 73.4
