Belknap, Lyndon B Johnson, Democrat, 57.59
Carroll, Barry Goldwater, Republican, 54.99
Cheshire, Lyndon B Johnson, Democrat, 69.58
Coös, Lyndon B Johnson, Democrat, 71.09
Grafton, Lyndon B Johnson, Democrat, 59.76
Hillsborough, Lyndon B Johnson, Democrat, 67.12
Merrimack, Lyndon B Johnson, Democrat, 61.2
Rockingham, Lyndon B Johnson, Democrat, 58.3
Strafford, Lyndon B Johnson, Democrat, 68.01
Sullivan, Lyndon B Johnson, Democrat, 68.85
