Providence, Lyndon B Johnson, Democrat, 83.5
Kent, Lyndon B Johnson, Democrat, 78.3
Bristol, Lyndon B Johnson, Democrat, 76.2
Newport, Lyndon B Johnson, Democrat, 73.6
Washington, Lyndon B Johnson, Democrat, 70.4
