Hawaii, Lyndon B Johnson, Democrat, 80.1
Honolulu, Lyndon B Johnson, Democrat, 78.4
Kauai, Lyndon B Johnson, Democrat, 81.6
Maui, Lyndon B Johnson, Democrat, 78.1
