Providence, John F Kennedy, Democrat, 67.5
Bristol, John F Kennedy, Democrat, 59.6
Newport, John F Kennedy, Democrat, 56.8
Kent, John F Kennedy, Democrat, 55.7
Washington, Richard M Nixon, Republican, 52.2
