Hall, John F Kennedy, Democrat, 68.47
Hancock, John F Kennedy, Democrat, 73.17
Haralson, John F Kennedy, Democrat, 59.82
Harris, John F Kennedy, Democrat, 64.95
Hart, John F Kennedy, Democrat, 93.51
Heard, John F Kennedy, Democrat, 87.12
Henry, John F Kennedy, Democrat, 73.96
Houston, John F Kennedy, Democrat, 69.65
Irwin, John F Kennedy, Democrat, 82.2
Jackson, John F Kennedy, Democrat, 88.56
Jasper, John F Kennedy, Democrat, 77.79
Jeff Davis, John F Kennedy, Democrat, 67.24
Jefferson, John F Kennedy, Democrat, 56.29
Jenkins, John F Kennedy, Democrat, 81.22
Johnson, John F Kennedy, Democrat, 72.68
Jones, John F Kennedy, Democrat, 74.32
Lamar, John F Kennedy, Democrat, 74
Lanier, John F Kennedy, Democrat, 84.12
Laurens, John F Kennedy, Democrat, 71.16
Lee, John F Kennedy, Democrat, 67.9
Liberty, John F Kennedy, Democrat, 63.12
Lincoln, John F Kennedy, Democrat, 77.25
Long, Richard M Nixon, Republican, 76.36
Lowndes, John F Kennedy, Democrat, 55.35
Lumpkin, John F Kennedy, Democrat, 63.87
McDuffie, John F Kennedy, Democrat, 50.94
McIntosh, John F Kennedy, Democrat, 63.78
Macon, John F Kennedy, Democrat, 77.26
Madison, John F Kennedy, Democrat, 92.18
Marion, John F Kennedy, Democrat, 80.73
Meriwether, John F Kennedy, Democrat, 81.45
Miller, John F Kennedy, Democrat, 94.74
Mitchell, John F Kennedy, Democrat, 88.36
Monroe, John F Kennedy, Democrat, 73.86
Montgomery, John F Kennedy, Democrat, 79.2
Morgan, John F Kennedy, Democrat, 79.96
Murray, John F Kennedy, Democrat, 66.98
Muscogee, Richard M Nixon, Republican, 52.83
Newton, John F Kennedy, Democrat, 81.81
Oconee, John F Kennedy, Democrat, 80.4
Oglethorpe, John F Kennedy, Democrat, 90.83
Paulding, John F Kennedy, Democrat, 74.69
Peach, John F Kennedy, Democrat, 69.53
Pickens, Richard M Nixon, Republican, 56.88
Pierce, John F Kennedy, Democrat, 72.7
Pike, John F Kennedy, Democrat, 80.12
Polk, John F Kennedy, Democrat, 71.36
Pulaski, John F Kennedy, Democrat, 77.58
Putnam, John F Kennedy, Democrat, 78.35
Quitman, John F Kennedy, Democrat, 85.27
Rabun, John F Kennedy, Democrat, 76.98
Randolph, John F Kennedy, Democrat, 75.86
Richmond, Richard M Nixon, Republican, 54.83
Rockdale, John F Kennedy, Democrat, 78.06
Schley, John F Kennedy, Democrat, 77.19
Screven, John F Kennedy, Democrat, 60.89
Seminole, John F Kennedy, Democrat, 95.35
Spalding, John F Kennedy, Democrat, 71.63
Stephens, John F Kennedy, Democrat, 79.11
Stewart, John F Kennedy, Democrat, 68.14
Sumter, John F Kennedy, Democrat, 70.27
Talbot, John F Kennedy, Democrat, 78.83
Taliaferro, John F Kennedy, Democrat, 81.57
Tattnall, John F Kennedy, Democrat, 68.71
Taylor, John F Kennedy, Democrat, 76.69
Telfair, John F Kennedy, Democrat, 78.7
Terrell, John F Kennedy, Democrat, 82.59
Thomas, John F Kennedy, Democrat, 58.54
Tift, John F Kennedy, Democrat, 67.56
Toombs, John F Kennedy, Democrat, 68.03
Towns, Richard M Nixon, Republican, 54.73
Treutlen, John F Kennedy, Democrat, 81.1
Troup, John F Kennedy, Democrat, 67.17
Turner, John F Kennedy, Democrat, 82.49
Twiggs, John F Kennedy, Democrat, 76.26
Union, Richard M Nixon, Republican, 56.47
Upson, John F Kennedy, Democrat, 76.52
Walker, John F Kennedy, Democrat, 53.14
Walton, John F Kennedy, Democrat, 88.48
Ware, John F Kennedy, Democrat, 69.53
Warren, John F Kennedy, Democrat, 55.67
Washington, John F Kennedy, Democrat, 67.7
Wayne, John F Kennedy, Democrat, 67.4
Webster, John F Kennedy, Democrat, 79.41
Wheeler, John F Kennedy, Democrat, 81.1
White, John F Kennedy, Democrat, 72.94
Whitfield, Richard M Nixon, Republican, 53.51
Wilcox, John F Kennedy, Democrat, 84.85
Wilkes, John F Kennedy, Democrat, 81.89
Wilkinson, John F Kennedy, Democrat, 67.72
Worth, John F Kennedy, Democrat, 86.19
