Belknap, Richard M Nixon, Republican, 61.92
Carroll, Richard M Nixon, Republican, 79.61
Cheshire, Richard M Nixon, Republican, 57.22
Coös, John F Kennedy, Democrat, 57.28
Grafton, Richard M Nixon, Republican, 64.89
Hillsborough, John F Kennedy, Democrat, 57.57
Merrimack, Richard M Nixon, Republican, 60.57
Rockingham, Richard M Nixon, Republican, 62.16
Strafford, John F Kennedy, Democrat, 51.43
Sullivan, Richard M Nixon, Republican, 52.34
