Fairfield, Richard M Nixon, Republican, 53.4
Hartford, John F Kennedy, Democrat, 58.9
Litchfield, Richard M Nixon, Republican, 53.9
Middlesex, John F Kennedy, Democrat, 50.1
New Haven, John F Kennedy, Democrat, 58
New London, John F Kennedy, Democrat, 51.6
Tolland, Richard M Nixon, Republican, 51.4
Windham, John F Kennedy, Democrat, 57
