Belknap, Judd Gregg, Republican, 50
Carroll, Judd Gregg, Republican, 54.1
Cheshire, John Rauh, Democrat, 55.8
Coös, Judd Gregg, Republican, 51.4
Grafton, John Rauh, Democrat, 47.3
Hillsborough, Judd Gregg, Republican, 51.6
Merrimack, John Rauh, Democrat, 53.1
Rockingham, Judd Gregg, Republican, 50.4
Strafford, John Rauh, Democrat, 49.9
Sullivan, John Rauh, Democrat, 51.6
