Bristol, Sheldon Whitehouse, Democrat, 63.3
Kent, Sheldon Whitehouse, Democrat, 59.3
Newport, Sheldon Whitehouse, Democrat, 61.5
Providence, Sheldon Whitehouse, Democrat, 68.9
Washington, Sheldon Whitehouse, Democrat, 59
