Fairfield, Chris Murphy, Democrat, 52.3
Hartford, Chris Murphy, Democrat, 59.2
Litchfield, Linda McMahon, Republican, 54.1
Middlesex, Chris Murphy, Democrat, 54
New Haven, Chris Murphy, Democrat, 57.6
New London, Chris Murphy, Democrat, 55.4
Tolland, Chris Murphy, Democrat, 52.4
Windham, Chris Murphy, Democrat, 51
