Belknap, Judd Gregg, Republican, 72.6
Carroll, Judd Gregg, Republican, 67.8
Cheshire, Judd Gregg, Republican, 54.6
Coös, Judd Gregg, Republican, 71.6
Grafton, Judd Gregg, Republican, 60.2
Hillsborough, Judd Gregg, Republican, 68
Merrimack, Judd Gregg, Republican, 66.4
Rockingham, Judd Gregg, Republican, 68
Strafford, Judd Gregg, Republican, 63.2
Sullivan, Judd Gregg, Republican, 62.4
