Fairfield, Chris Dodd, Democrat, 61.7
Hartford, Chris Dodd, Democrat, 70.2
Litchfield, Chris Dodd, Democrat, 57.7
Middlesex, Chris Dodd, Democrat, 69
New Haven, Chris Dodd, Democrat, 67.1
New London, Chris Dodd, Democrat, 70.6
Tolland, Chris Dodd, Democrat, 67.7
Windham, Chris Dodd, Democrat, 67.9
