Bristol, Jimmy Carter, Democrat, 45.1
Kent, Jimmy Carter, Democrat, 44.2
Newport, Ronald Reagan, Republican, 42.4
Providence, Jimmy Carter, Democrat, 51.1
Washington, Ronald Reagan, Republican, 41.5
