Androscoggin, Jimmy Carter, Democrat, 49.29
Aroostook, Ronald Reagan, Republican, 48.29
Cumberland, Jimmy Carter, Democrat, 44.05
Franklin, Ronald Reagan, Republican, 46.83
Hancock, Ronald Reagan, Republican, 53.6
Kennebec, Ronald Reagan, Republican, 43.84
Knox, Ronald Reagan, Republican, 48.98
Lincoln, Ronald Reagan, Republican, 52.14
Oxford, Ronald Reagan, Republican, 47.04
Penobscot, Ronald Reagan, Republican, 45.97
Piscataquis, Ronald Reagan, Republican, 46.93
Sagadahoc, Ronald Reagan, Republican, 45.23
Somerset, Ronald Reagan, Republican, 47.59
Waldo, Ronald Reagan, Republican, 49.57
Washington, Ronald Reagan, Republican, 48.55
York, Ronald Reagan, Republican, 46.31
