Belknap, Ronald Reagan, Republican, 65.12
Carroll, Ronald Reagan, Republican, 67.25
Cheshire, Ronald Reagan, Republican, 52
Coös, Ronald Reagan, Republican, 60.08
Grafton, Ronald Reagan, Republican, 56.25
Hillsborough, Ronald Reagan, Republican, 59.84
Merrimack, Ronald Reagan, Republican, 56.21
Rockingham, Ronald Reagan, Republican, 57.83
Strafford, Ronald Reagan, Republican, 50.41
Sullivan, Ronald Reagan, Republican, 52.85
