Fairfield, Ronald Reagan, Republican, 54.9
Hartford, Jimmy Carter, Democrat, 44.3
Litchfield, Ronald Reagan, Republican, 50.7
Middlesex, Ronald Reagan, Republican, 45.5
New Haven, Ronald Reagan, Republican, 50.1
New London, Ronald Reagan, Republican, 48
Tolland, Ronald Reagan, Republican, 43.9
Windham, Ronald Reagan, Republican, 47.8
