Belknap, Bob Dole, Republican, 45.24
Carroll, Bob Dole, Republican, 44.16
Cheshire, Bill Clinton, Democrat, 54.41
Coös, Bill Clinton, Democrat, 50.87
Grafton, Bill Clinton, Democrat, 52.99
Hillsborough, Bill Clinton, Democrat, 48.61
Merrimack, Bill Clinton, Democrat, 52.28
Rockingham, Bill Clinton, Democrat, 47.37
Strafford, Bill Clinton, Democrat, 54.79
Sullivan, Bill Clinton, Democrat, 48.55
