Fairfield, Bill Clinton, Democrat, 48.9
Hartford, Bill Clinton, Democrat, 57
Litchfield, Bill Clinton, Democrat, 45.9
Middlesex, Bill Clinton, Democrat, 52.5
New Haven, Bill Clinton, Democrat, 54.7
New London, Bill Clinton, Democrat, 52.7
Tolland, Bill Clinton, Democrat, 51.2
Windham, Bill Clinton, Democrat, 51.7
