Providence, Bill Clinton, Democrat, 63.6
Kent, Bill Clinton, Democrat, 57.3
Bristol, Bill Clinton, Democrat, 56.6
Newport, Bill Clinton, Democrat, 54
Washington, Bill Clinton, Democrat, 51.8
