Hawaii, Bill Clinton, Democrat, 55.6
Honolulu, Bill Clinton, Democrat, 56.3
Kalawao, Bill Clinton, Democrat, 73
Kauai, Bill Clinton, Democrat, 63.5
Maui, Bill Clinton, Democrat, 59
