Litchfield, Leora Levy, Republican, 54
Windham, Leora Levy, Republican, 52.8
Hartford, Richard Blumenthal, Democrat, 61.5
Tolland, Richard Blumenthal, Democrat, 53.9
Fairfield, Richard Blumenthal, Democrat, 59.6
New Haven, Richard Blumenthal, Democrat, 56.7
Middlesex, Richard Blumenthal, Democrat, 56.4
New London, Richard Blumenthal, Democrat, 57
