Belknap, Don Bolduc, Republican, 53.9
Carroll, Maggie Hassan, Democrat, 50.5
Cheshire, Maggie Hassan, Democrat, 59.1
Coös, Don Bolduc, Republican, 50.3
Grafton, Maggie Hassan, Democrat, 61.6
Hillsborough, Maggie Hassan, Democrat, 53.2
Merrimack, Maggie Hassan, Democrat, 55.6
Rockingham, Maggie Hassan, Democrat, 50.6
Strafford, Maggie Hassan, Democrat, 58.7
Sullivan, Maggie Hassan, Democrat, 51.8
