Belknap, Chris Sununu, Republican, 73.68
Carroll, Chris Sununu, Republican, 67.2
Cheshire, Chris Sununu, Republican, 56.79
Coös, Chris Sununu, Republican, 69.78
Grafton, Chris Sununu, Republican, 54.96
Hillsborough, Chris Sununu, Republican, 66.29
Merrimack, Chris Sununu, Republican, 63.16
Rockingham, Chris Sununu, Republican, 68.17
Strafford, Chris Sununu, Republican, 61.35
Sullivan, Chris Sununu, Republican, 65.8
